10.1.18.136 - - [18/Jul/2018:12:00:39 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:05:06 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 6253
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:05:07 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:05:07 -0500] "GET /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 60341
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:05:11 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 62703
0:0:0:0:0:0:0:1 - - [18/Jul/2018:14:28:42 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 62736
0:0:0:0:0:0:0:1 - - [18/Jul/2018:15:24:21 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 4314
0:0:0:0:0:0:0:1 - - [18/Jul/2018:15:24:21 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 4944
0:0:0:0:0:0:0:1 - - [18/Jul/2018:15:24:24 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 4314
0:0:0:0:0:0:0:1 - - [18/Jul/2018:15:24:24 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 4944
0:0:0:0:0:0:0:1 - - [18/Jul/2018:15:24:27 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 57557
127.0.0.1 - - [18/Jul/2018:16:31:43 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:31:43 -0500] "GET /joappWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:31:44 -0500] "GET /joappWeb/login.xhtml HTTP/1.1" 200 8380
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:31:44 -0500] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:31:44 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:31:44 -0500] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:31:44 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:31 -0500] "POST /joappWeb/login.xhtml HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:31 -0500] "GET /joappWeb/javax.faces.resource/images/ecuador-logo.png.xhtml?ln=ecuador-layout HTTP/1.1" 200 2911
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:31 -0500] "GET /joappWeb/javax.faces.resource/images/avatar.png.xhtml?ln=ecuador-layout HTTP/1.1" 200 6180
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:31 -0500] "GET /joappWeb/javax.faces.resource/images/avatar-brooke.png.xhtml?ln=ecuador-layout HTTP/1.1" 200 30000
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:31 -0500] "GET /joappWeb/javax.faces.resource/images/avatar-tom.png.xhtml?ln=ecuador-layout HTTP/1.1" 200 30697
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:31 -0500] "GET /joappWeb/javax.faces.resource/images/avatar-maggie.png.xhtml?ln=ecuador-layout HTTP/1.1" 200 27937
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:31 -0500] "GET /joappWeb/javax.faces.resource/images/avatar-lucas.png.xhtml?ln=ecuador-layout HTTP/1.1" 200 27823
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:31 -0500] "GET /joappWeb/javax.faces.resource/fa/fontawesome-webfont.woff2.xhtml?ln=primefaces&v=6.2?v=4.7.0 HTTP/1.1" 200 77244
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:31 -0500] "GET /joappWeb/javax.faces.resource/fonts/montserrat-v12-latin-ext_latin-regular.woff2.xhtml?ln=ecuador-layout HTTP/1.1" 200 28276
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:32 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 62668
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:35 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:35 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 24670
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:35 -0500] "GET /joappWeb/javax.faces.resource/fonts/montserrat-v12-latin-ext_latin-700.woff2.xhtml?ln=ecuador-layout HTTP/1.1" 200 28176
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:37 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 7680
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:38 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:39 -0500] "GET /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 62326
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:42 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 62740
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:47 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:47 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 24670
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:48 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 7620
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:50 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 144
